Year,All
1950,274592204.9
1951,304145869.1
1952,341768128.7
1953,349564339.4
1954,383662256.5
1955,389875693.1
1956,413084767.9
1957,389946586.4
1958,418235806.8
1959,384505540.9
1960,453590278.7
1961,552123960.9
1962,475656320.2
1963,551582266.4
1964,586363336
1965,667169576
1966,719765977.9
1967,880985447.6
1968,655479068.5
1969,663685116
1970,786193529.7
1971,765100241.3
1972,780875205.7
1973,886618565.6
1974,836468159.7
1975,996854880.3
1976,1115005736
1977,1040775928
1978,995020059.9
1979,1162529289
1980,1465472290
1981,1536335790
1982,1461369013
1983,2969908249
1984,1616427568
1985,1782084212
1986,1525153156
1987,1811341684
1988,1531033546
1989,2082241760
1990,2442022384
1991,1960707904
1992,2494526127
1993,2394561342
1994,2257541441
1995,2514146658
1996,2795475717
1997,2684046731
1998,2557623306
1999,3392208590
2000,2934372589
2001,3076842346
2002,3607503534
2003,3533359221
2004,2988532757
2005,2895989208
2006,3924473756
2007,3607819678
2008,4065003525
2009,4730384758
2010,4078796701
2011,4935368133
2012,5320013628
2013,4061964689
2014,4991809901
2015,5365478125
