variable,year,mean,sd,lower,upper
b_t,2001,917662.202268261,1264365.8778105,132102.446080222,2985423.6307975
b_t,2002,197580.654113826,511717.448102431,11164.9395445361,632499.955707835
b_t,2003,172349.963834109,489904.954284563,8559.51788026753,605286.926369566
b_t,2004,223613.67159961,571833.525040124,11557.6514910636,747515.843805723
b_t,2005,288794.536163063,561249.053053952,17651.2514647335,1017721.06594423
b_t,2006,627128.79429437,1035285.02930677,42660.0267673717,2114725.20086937
b_t,2007,654646.426427916,1104857.75017183,42834.0713579942,2340303.5242804
b_t,2008,579797.860850257,1168268.08143044,38530.8893324155,1998544.00274964
b_t,2009,451281.627623995,886459.133974945,28755.2720386509,1474886.84203011
b_t,2010,517589.555561534,1010524.50090902,25627.6119138973,1890238.52006347
b_t,2011,561891.536625167,894364.906242744,41673.6683956066,2014763.6893989
b_t,2012,859769.329386724,1367471.08947206,79596.147012436,2994084.1095669
b_t,2013,908310.409895768,1410499.1143728,86028.3891185862,3174952.43131101
b_t,2014,877578.72723892,1298389.20722125,80574.6683255501,3171967.02673339
b_t,2015,1091052.13990475,1984387.39711854,50034.8968841481,4249903.4585348
b_t,2016,544113.038998174,1954330.49088201,8.61376499029473e-07,2117756.91397352
b_t,2017,300985.161313226,1172228.53603098,1.20283414980829e-06,1225423.74594341
b_t,2018,251578.30016561,1555837.76801632,2.86945097535004e-06,833356.110207522
b_t,2019,146477.097923619,664093.967343107,2.80274770757833e-06,606851.089150703
b_t,2020,114540.914941771,648708.990032358,1.59994599563732e-06,436324.372685172
b_t,2021,100341.178174029,776061.828056534,1.31798367142168e-06,318723.182197179
bmsy,2001,530940.590311811,725481.979092889,77400.4266014525,1694418.31966776
ck,2001,3.48258739109346e-05,3.189776226074e-05,4.42634751339597e-06,9.68986930918003e-05
ck,2002,0.000540961908083184,0.000495478573783495,6.87559313747508e-05,0.0015051596993593
ck,2003,0.00104709794225543,0.000959059385306251,0.000133085515236106,0.00291342070562679
ck,2004,0.00155323397642768,0.00142264019682901,0.00019741509909746,0.00432168171189429
ck,2005,0.00205937001059993,0.00188622100835176,0.000261744682958815,0.00572994271816179
ck,2006,0.028020898148738,0.0256649395149914,0.0035614392092784,0.0779646884616625
ck,2007,0.0206354911546924,0.0189004873982305,0.00262275844660423,0.0574157056133281
ck,2008,0.0111257058520799,0.0101902717835644,0.0014140704856129,0.0309559024863938
ck,2009,0.00851608703368721,0.00780006613149296,0.00108238951194243,0.0236949604173816
ck,2010,0.00856716498208991,0.00784684951614205,0.00108888148829541,0.0238370785005829
ck,2011,0.0138560543666972,0.0126910563448064,0.00176109613066314,0.0385527600247909
ck,2012,0.0829041537074435,0.0759336863204337,0.0105370678005562,0.230670568861467
ck,2013,0.0811326775878406,0.074311153480104,0.0103119142570415,0.225741655339531
ck,2014,0.0810653475649462,0.0742494844730666,0.0103033566518489,0.22555431786622
ck,2015,0.05194627352555,0.0475787021881198,0.00660233995098144,0.144534090615729
ck,2016,0.0867814343361942,0.0794849705187961,0.0110298678237143,0.241458623359021
ck,2017,0.0174759508917217,0.0160065969414046,0.00222118278988873,0.0486246750411804
ck,2018,0.0232172492739564,0.0212651748404934,0.00295089834226398,0.0645991287278669
ck,2019,0.0428468298866054,0.0392443272735846,0.00544580616729128,0.119216012489931
ck,2020,0.0492563996415921,0.0451149892061773,0.00626045860701126,0.137049848738443
ck,2021,0.117876549356821,0.107965650973075,0.0149820381383004,0.327976940594756
crashed,2001,0,0,0,0
delta,2001,100,0,100,100
dep_t,2001,0.865228773347744,0.084866514070528,0.733749233528527,1.00782059422354
dep_t,2002,0.186186770694411,0.21066028344771,0.0315774891943927,0.51912086187659
dep_t,2003,0.159299422290621,0.190944050038013,0.0213047856166709,0.476020722651909
dep_t,2004,0.201340179123575,0.222808470045769,0.0296331552443069,0.618862169224313
dep_t,2005,0.292923146100014,0.282689696382682,0.0431466511757217,0.823017453931612
dep_t,2006,0.604266927619188,0.426545238060842,0.120065131073108,1.44239273656159
dep_t,2007,0.615617750129354,0.435038377545717,0.129077896260502,1.49309884851167
dep_t,2008,0.527756628818734,0.408152851204309,0.0997301358947595,1.3533918376157
dep_t,2009,0.448436985749422,0.389914181131854,0.0692425372644189,1.2626417972564
dep_t,2010,0.485722020137556,0.395887094209314,0.0685128412612099,1.28564974307234
dep_t,2011,0.544895250526302,0.390339248391192,0.124311422616469,1.31499912163531
dep_t,2012,0.833084925742439,0.467585147247251,0.227923191978017,1.6713771032168
dep_t,2013,0.858280625483235,0.437273243854356,0.24378100082555,1.63299024613085
dep_t,2014,0.857435247372454,0.451935305231541,0.239164335451745,1.65505074072699
dep_t,2015,1.06477798534845,1.08312869687811,0.118317202034456,3.04646566705278
dep_t,2016,0.459560796512056,0.805950892714753,1.15235292081877e-12,1.82760557665218
dep_t,2017,0.253750661288053,0.623815873853704,3.61284358325825e-12,1.13592741433799
dep_t,2018,0.181137541661143,0.599538395586777,1.31595730965513e-11,0.78400892168697
dep_t,2019,0.12140721611589,0.400888817414206,1.06595856466242e-11,0.557605927713837
dep_t,2020,0.0929357747479781,0.369814784843177,6.18928089874016e-12,0.439106884550539
dep_t,2021,0.0773726001119047,0.425287376856204,5.21389995703473e-12,0.345774610208097
growth_t,2001,0.107482832553989,0.0672668756234402,-0.00648101301563393,0.211131705842009
growth_t,2002,0.103610570543275,0.103980719632361,0.0140534417635438,0.236496410850749
growth_t,2003,0.0939700763747328,0.0980748459570942,0.00720611573894967,0.234361388416108
growth_t,2004,0.10804849406637,0.102909457247331,0.0111082464262304,0.254067750126212
growth_t,2005,0.12533028180587,0.151043701432704,0.016139929149919,0.27098620371821
growth_t,2006,0.0668708088225546,0.31984103639828,-0.577502948185421,0.292570478050541
growth_t,2007,0.0591689670419381,0.340217592596064,-0.66645244383085,0.29296049122993
growth_t,2008,0.0908056468820665,0.291093600462156,-0.477344196406932,0.301240825473307
growth_t,2009,0.101789213814732,0.259962364168971,-0.321542223299333,0.287759055739733
growth_t,2010,0.100288996930759,0.261183656038339,-0.330344229816127,0.291138973126109
growth_t,2011,0.104660389659697,0.26640989507476,-0.39833702576809,0.302871763636493
growth_t,2012,-0.0450358891727124,0.452462329794236,-1.06406150652893,0.300561377970927
growth_t,2013,-0.0484470514934597,0.399473576648157,-0.933058523227051,0.291576550395441
growth_t,2014,-0.0571784692578774,0.418375865953757,-0.959966028576887,0.290784675415982
growth_t,2015,-1.15075912516759,5.01606810217588,-5.99110488053963,0.287378769094677
growth_t,2016,-0.355061166408515,2.90590978297673,-1.51799853699211,0.265543297455149
growth_t,2017,-0.187932790069029,2.21772851868781,-0.162004588371772,0.241416099082636
growth_t,2018,-0.221339077072742,4.86380147501267,4.46738278434423e-23,0.222935857145328
growth_t,2019,-0.0499238006767407,0.973212594540035,8.21401202575433e-22,0.197336714056071
growth_t,2020,-0.0496596835743594,1.1652870775545,2.53450107647362e-22,0.170250498006367
growth_t,2021,-0.0963513367295994,2.54373056712632,3.9420677305148e-12,0.143935667822553
index_hat_t,2001,917662.202268261,1264365.8778105,132102.446080222,2985423.6307975
index_hat_t,2002,197580.654113826,511717.448102431,11164.9395445361,632499.955707835
index_hat_t,2003,172349.963834109,489904.954284563,8559.51788026753,605286.926369566
index_hat_t,2004,223613.67159961,571833.525040124,11557.6514910636,747515.843805723
index_hat_t,2005,288794.536163063,561249.053053952,17651.2514647335,1017721.06594423
index_hat_t,2006,627128.79429437,1035285.02930677,42660.0267673717,2114725.20086937
index_hat_t,2007,654646.426427916,1104857.75017183,42834.0713579942,2340303.5242804
index_hat_t,2008,579797.860850257,1168268.08143044,38530.8893324155,1998544.00274964
index_hat_t,2009,451281.627623995,886459.133974945,28755.2720386509,1474886.84203011
index_hat_t,2010,517589.555561534,1010524.50090902,25627.6119138973,1890238.52006347
index_hat_t,2011,561891.536625167,894364.906242744,41673.6683956066,2014763.6893989
index_hat_t,2012,859769.329386724,1367471.08947206,79596.147012436,2994084.1095669
