variable,year,mean,sd,lower,upper
b_t,1950,1061081.36575747,35912.512351111,1008658.35874363,1122913.47138754
b_t,1951,1430947.11014869,72485.7025316313,1333331.04908907,1565362.82635091
b_t,1952,1367200.89295791,156044.12511719,1177961.26710206,1639812.75374282
b_t,1953,1288881.67229164,135855.177871656,1109672.81802044,1538505.49660784
b_t,1954,1314589.87849638,162689.4304536,1074785.73092339,1600084.44613104
b_t,1955,1108796.39122143,86600.5261091203,948569.755581649,1258789.32286491
b_t,1956,1133941.59865186,92856.0828047924,1020004.80833004,1327077.92090011
b_t,1957,1176106.21353793,80067.0799705337,1052567.89807506,1304387.08284557
b_t,1958,1239621.1187856,118685.90222522,1063348.2962649,1443157.58676425
b_t,1959,1104169.58287168,93755.7194933566,950472.890024011,1242110.37027
b_t,1960,1034629.92186383,81648.1800378259,920189.471217704,1175904.79247776
b_t,1961,971346.563559339,84894.1079859554,853650.347090103,1111731.08533274
b_t,1962,971879.30492365,152819.807641055,716903.696463973,1190220.81684098
b_t,1963,870105.093998197,78012.4699743386,774101.742332277,1016976.65479965
b_t,1964,792140.163191793,60239.9289300083,706457.829774973,903825.616614142
b_t,1965,694879.196258018,90077.3616466312,580613.661259308,842747.024725857
b_t,1966,747501.406565189,75159.5052767268,650567.676869675,876523.227716442
b_t,1967,614210.63888117,39155.8950155629,549790.024333503,671797.815964709
b_t,1968,697133.193485093,47612.5698308061,619578.497157752,769499.715357868
b_t,1969,690679.059293398,67309.3532079152,587051.635765338,799944.226237349
b_t,1970,634455.1836899,40050.1638529955,571940.520795097,696697.884217596
b_t,1971,647458.94249841,31709.4948702813,595503.962466605,696260.726476223
b_t,1972,593926.729740533,57853.6607586175,513317.620914268,685265.573080099
b_t,1973,609103.672689534,64147.6653069626,521984.045854903,711997.101456585
b_t,1974,566081.893632883,35753.68559263,508401.785161529,617233.592059787
b_t,1975,489852.810426033,36111.3036693329,431771.398300431,547871.323931608
b_t,1976,414682.028937804,35079.6852182533,357332.806661285,467688.102442059
b_t,1977,399178.856423916,34979.6851009574,333670.842945454,452201.112672621
b_t,1978,448793.805192343,42662.0402910859,387217.58380856,515249.157502659
b_t,1979,420365.720491668,32876.38389829,369638.768643791,479127.980582889
b_t,1980,378144.985154227,40803.5527212231,320065.079336458,448830.20903083
b_t,1981,294150.357563973,21895.3411421224,265740.102271499,335266.126110514
b_t,1982,297859.636398379,23795.4196526798,260572.653384701,335527.92069514
b_t,1983,255419.352562938,17333.0767853446,234391.931057286,283281.009970879
b_t,1984,278415.680177699,22455.7186562079,245636.510162645,312916.817081075
b_t,1985,275981.520957421,49440.2452890247,197483.352602824,340108.245985061
b_t,1986,282491.769134556,25521.9076004495,244330.76148576,320157.841561358
b_t,1987,344797.684423991,35788.9109216747,285713.623766108,400945.298094663
b_t,1988,267084.841996554,21255.0238430328,230870.106013038,299930.501841286
b_t,1989,276427.549620574,14645.5214145251,252359.604257117,300227.001613316
