variable,year,mean,sd,lower,upper
b_t,1950,238652.361794868,181068.266497599,117001.402371575,471663.259390701
b_t,1951,323667.849368148,281553.011108165,146678.452403592,673793.730841212
b_t,1952,337001.873343205,275161.14029471,147530.146915183,717526.289344067
b_t,1953,337383.145702089,282008.989429086,148565.938729831,705447.830952939
b_t,1954,336269.10655658,280553.660379445,144237.216618199,696318.658065472
b_t,1955,336943.859413645,308955.707842124,144904.411603732,699411.666708549
b_t,1956,330277.153744175,313393.336217912,140236.472776432,676394.865232844
b_t,1957,332572.484638813,306023.422107562,138904.602848233,688463.672388191
b_t,1958,328531.963640746,289091.985936078,140755.43485987,695066.303719626
b_t,1959,331525.791560787,309890.845946059,138842.290297935,697051.527286
b_t,1960,315233.982288094,281632.733367009,139730.985750168,650024.581212949
b_t,1961,322866.168297129,275267.416259183,143621.656443602,677240.253086603
b_t,1962,343299.926320595,276718.346470408,142020.657465619,722131.823070059
b_t,1963,332218.953995596,269471.768409565,143469.562181652,697220.827730642
b_t,1964,328684.789484901,302237.042734191,139670.28141761,696518.070095896
b_t,1965,327074.799602579,287851.051769071,135266.144635457,708921.10768573
b_t,1966,323775.250963858,271420.664699939,141285.829562153,667282.536581069
b_t,1967,295834.479871442,284775.585992108,126599.206934053,629098.808720437
b_t,1968,337897.229601376,301975.634367892,146230.473462209,718142.184489437
b_t,1969,356805.016262194,299519.30459931,151866.582906522,754805.38971653
b_t,1970,357330.075546835,353906.356318507,147734.747289618,754602.672308975
b_t,1971,357255.944339691,322093.552892155,151618.789115518,757987.29804897
b_t,1972,341167.448367546,347726.336687888,143308.643563742,713914.860333719
b_t,1973,337168.702073264,298502.367014472,148337.361120811,692729.330482781
b_t,1974,764235.487429024,681710.532156004,325813.134128149,1647592.358247
b_t,1975,31092.1017712686,28876.3266958421,12393.5824734991,67548.6085827789
b_t,1976,51894.8703052724,47429.7487615467,21031.6379029186,110219.437224326
b_t,1977,63692.8107242492,54357.0534271555,27105.7433594029,134127.220478831
b_t,1978,72327.2555151965,64840.7933232165,30811.6140372679,156253.827075144
b_t,1979,68678.0980433261,63254.040915293,29227.2212550093,145837.656530394
b_t,1980,66712.5962566114,57819.9297960708,29063.5357489872,141454.183718564
b_t,1981,63940.2025266386,55213.5414824314,28507.5817840023,134735.3094592
b_t,1982,65118.0241440461,57261.0072952963,27310.6247103269,137994.134294563
b_t,1983,59437.7846101029,57166.5112882134,26504.2284748798,122389.498334337
b_t,1984,68042.7100788335,62505.260870957,30487.0317717996,141208.82620097
b_t,1985,75640.3943477717,76735.5320267998,32575.7282318851,157862.626721953
b_t,1986,91850.2685621021,81136.7314401322,39712.3865528514,193836.717401449
b_t,1987,111362.975471984,87146.6280575209,49869.6115243108,231874.101080009
b_t,1988,117530.792725513,101698.746695356,49559.2850518462,248341.372886351
b_t,1989,95925.2936490924,88049.4711954135,42923.342470945,204209.876296804
b_t,1990,89539.7400011929,84679.6175079172,39392.922104705,185348.318067273
b_t,1991,99121.756097323,91315.3632669836,43298.491655543,202128.071406036
b_t,1992,117068.280460282,101712.808052026,53149.4236977494,241786.754261738
b_t,1993,151737.632703441,121260.032018915,69065.695361001,322618.720746387
b_t,1994,196060.138510662,170628.674441483,87481.0778446902,418137.494019794
b_t,1995,171843.674471071,152490.179288653,75676.1308161444,362576.132255379
b_t,1996,169955.601478478,136794.915256084,76942.7426039061,359674.777003514
