variable,year,mean,sd,lower,upper
b_t,1950,14488620.6271557,15820207.0406141,3815839.25840065,38303690.6057192
b_t,1951,7986200.2823972,9532127.90584356,1746345.55034104,20818759.501887
b_t,1952,6353018.31273753,7550041.39934454,1378889.64119421,16919766.0332524
b_t,1953,5785201.48035318,6139624.39776674,1193115.62822879,15958196.9805291
b_t,1954,5702993.90803682,6273396.7586463,1200900.76726942,15854375.5464263
b_t,1955,5768265.68936039,6378224.65650064,1258685.49176949,15809580.4602614
b_t,1956,6352086.34706915,7066012.18641684,1339595.51821678,17408341.9741779
b_t,1957,8526108.8240533,10114130.0844278,1871903.85916877,23102849.4622021
b_t,1958,19620229.3410278,24735021.8945083,4223545.90846892,52866997.5564851
b_t,1959,25460829.0402198,31170288.6510741,5413970.88933013,65703741.0095408
b_t,1960,24306635.1272949,27968547.7592274,5325965.10924023,65651760.1685987
b_t,1961,23184559.8006996,25920155.4024397,5285269.43106379,62352232.3743593
b_t,1962,27688861.364933,29023587.6518579,6057990.78054111,76105184.6235159
b_t,1963,24066376.0364408,25886619.6682939,5477166.65787654,64221377.7834318
b_t,1964,25709255.3776643,34779970.9523308,5404685.5689265,69950505.6289788
b_t,1965,25262672.181893,26393468.7946927,5692650.69033347,67779746.5770408
b_t,1966,24750384.8835587,30469228.3350121,5452542.59261874,65600751.855098
b_t,1967,22988231.9441522,25350391.259853,5181050.65624612,61508130.9081644
b_t,1968,24019282.7804868,30024685.9266294,5271855.98723256,64015160.3105254
b_t,1969,26286820.9519548,31072273.2369738,5743704.66168218,72030188.4326846
b_t,1970,23239132.9004506,24074165.0229032,4977578.75099399,63783438.8162332
b_t,1971,23324824.4345893,27389253.9978789,5010017.52980096,63282694.7122416
b_t,1972,23958167.5301588,28794621.7453474,5408016.20210689,64380645.1672699
b_t,1973,23925226.1301019,27692782.0604699,5415156.10767784,66623468.753558
b_t,1974,24420848.4983848,31547667.9132759,5293504.53983825,64224729.0881509
b_t,1975,22329018.8754896,23426661.7087287,4866765.35093399,61391918.6750892
b_t,1976,22028205.2182371,23940899.0578462,4887948.87809768,59988562.856502
b_t,1977,20777322.5639643,25129951.9173373,4619009.28652663,55865959.4388724
b_t,1978,19377324.5589193,22920935.6335163,4227282.52326308,51813495.2544199
b_t,1979,18133322.0466266,24379533.8091857,3847752.18567468,50079051.26361
b_t,1980,14548625.0822741,17071362.0332208,3038995.45184215,40346862.4707494
b_t,1981,14378192.3608632,18804163.5092068,3036639.77861227,39535009.8033381
b_t,1982,14879030.3162672,20678440.5882259,3091700.88739402,40209363.0586475
b_t,1983,11758336.8123455,13806217.8753718,2527424.3402894,32204648.2508974
