variable,year,mean,sd,lower,upper
b_t,1950,369861.92255741,136219.965111496,229145.463106684,634629.007245086
b_t,1951,539435.616800543,261220.020733939,300652.526113541,1126838.86003405
b_t,1952,480668.659374016,114821.799621246,321602.68127335,671952.701791904
b_t,1953,426685.013711011,90107.4776182586,275512.094240546,547450.689400028
b_t,1954,536121.383848882,137312.591351452,352066.989610023,791441.551418154
b_t,1955,366656.026347361,106845.794796327,229445.806480061,579153.420170116
b_t,1956,325911.676047953,99979.1292522681,212240.157097718,535725.266550538
b_t,1957,810759.854504294,253519.90486531,555846.900937832,1347181.95432192
b_t,1958,675373.497593626,130382.568865703,482281.994634817,896179.519174118
b_t,1959,559971.86094978,278701.441338788,267581.849505543,1093221.14511533
b_t,1960,287205.016822207,96812.6422225554,184306.154129114,500831.326967537
b_t,1961,706585.831466537,268743.916431768,359639.623903765,1236008.54148075
b_t,1962,779822.749718045,243806.219615699,423107.396312785,1196995.05965396
b_t,1963,667950.176118157,337000.282159047,324134.388920878,1402352.25725265
b_t,1964,284664.134319289,94495.2296000054,165472.21046166,470448.204966705
b_t,1965,194125.364063795,143404.587958143,69135.8156449243,523320.042631632
b_t,1966,153191.040046236,124608.843192847,44008.6707151818,388467.425835485
b_t,1967,113378.525087091,65277.3988506518,50281.2133770846,238585.380269075
b_t,1968,82912.7325587022,34331.7326617504,40542.1110758014,153035.188729496
b_t,1969,190198.143961636,73461.5185264964,87721.0755879757,345449.275725831
b_t,1970,156863.307993373,63741.5012918076,62590.4720579253,275349.655365478
b_t,1971,68477.8938575023,28554.4945073282,32350.8052768231,109482.430459573
b_t,1972,181524.57110134,103417.912361513,89159.1794965167,383423.211077221
b_t,1973,135514.104926999,39439.7158023917,73085.916497889,198388.226896696
b_t,1974,91619.9115933834,29987.9960815922,47700.4757523481,139147.362991812
b_t,1975,67146.691445303,23834.1741690631,31734.3608011419,113203.265032388
b_t,1976,47891.0428223111,16669.4143696074,28292.7436637267,81554.069405309
b_t,1977,97466.3730871403,34493.8789961643,50624.7122823394,154363.566778126
b_t,1978,192377.522326519,90836.2332286343,78573.4373518231,356644.705602678
b_t,1979,72297.8160494801,21004.694388282,34638.9878656999,103919.767097797
b_t,1980,72060.4526580246,34481.0177044932,33144.6396377243,139136.8880295
b_t,1981,112381.487081945,71229.064264317,42078.8686924608,249364.761485008
b_t,1982,62356.9963175111,32169.6045275244,25702.5187600334,125182.648637227
b_t,1983,53570.5945951599,24915.7290369123,24494.4505683023,107042.033548535
b_t,1984,55963.2324854889,28635.3000171879,19828.3139912326,107186.889212293
b_t,1985,62425.9952376652,32675.100793516,23103.0124319476,120127.435303915
b_t,1986,82873.2475457534,52902.3706681417,26963.9298244334,171553.980726674
b_t,1987,52929.8921299099,22717.1090162969,23815.3404744457,89842.6272974969
b_t,1988,42792.6208120106,14093.6066685481,23507.5887700857,67615.4039030416
b_t,1989,62575.3290612781,21085.730384188,35698.0691979713,103851.88350028
b_t,1990,86383.2066729377,40451.6210468728,36652.1457224348,168432.636430225
b_t,1991,67206.1980798327,37067.8670462773,30193.4526128902,145321.107584413
b_t,1992,79520.0390988983,34291.9724311757,38582.74352862,148555.20051041
b_t,1993,88928.0464871484,25152.4136530701,52193.6157857505,134275.932245817
b_t,1994,115595.450449005,35048.0615541877,64125.8275637608,176878.163167428
b_t,1995,74609.6520899056,41404.2303753779,32963.1774065607,163600.364076354
b_t,1996,73550.4976196487,38356.8923017635,30451.2480639833,152176.053127484
b_t,1997,72183.2786898074,41067.6599583145,23139.9778121942,150068.11835723
b_t,1998,53991.9858554668,29834.426341782,21834.6526195173,125758.300095013
b_t,1999,55796.2130949552,19987.6168064796,28412.5098986972,92658.2912568637
b_t,2000,45536.5461982965,12072.4835053402,29901.8098810117,67795.1034100928
b_t,2001,91874.3662505877,33341.7386024117,52696.2779561541,155839.050775993
b_t,2002,72412.4347564558,27184.7776748716,39601.5459655757,124058.260021078
b_t,2003,99303.1604893658,30370.0913060464,62378.7229616814,156025.550454263
b_t,2004,63213.7181403009,16009.8297448128,41203.5803837598,91396.3554824948
b_t,2005,59679.9150662456,16941.5667400502,38358.2341441504,91088.4989012052
b_t,2006,51006.5913365112,16528.2028052752,30325.9300593031,81204.6257833821
b_t,2007,37772.2577196305,13809.9473284028,21741.1985683167,65316.5351996364
b_t,2008,31785.3645503147,10657.4315560844,16940.0827297442,50531.6654957577
b_t,2009,47682.3423867223,15275.3115037596,26579.2247577184,74028.0491384697
b_t,2010,48021.2749982609,22376.560568886,23027.4998933781,87631.7084508274
b_t,2011,47097.5035644006,27554.5731432648,17375.6084905908,99134.355764081
b_t,2012,35934.542831647,12801.1529023365,21331.4795852801,59637.8676908168
b_t,2013,47527.1634685067,18804.5852730321,23163.1828709459,81322.4987591259
b_t,2014,62776.6497351361,33103.9649273046,25150.6321608323,126092.38293595
b_t,2015,29666.9725928582,15558.4199538885,11879.9439801687,59518.0317781878
b_t,2016,23751.3608376022,19204.5210185462,3190.80804978107,61764.7477432911
b_t,2017,23526.1330525186,27088.2430753677,1.79170389452607e-05,78758.3919302704
b_t,2018,17627.7153902286,24963.112528607,4.2622737777729e-05,68488.6426581405
b_t,2019,21061.7036589756,33164.0351897978,1.20421906324981e-05,89210.1023970979
b_t,2020,13408.640829059,22911.6634321165,4.0861972791361e-05,61192.1998322581
b_t,2021,25450.5642432298,46871.204788431,7.2596013404468e-06,129643.722187089
bmsy,1950,225420.364801821,63282.2932832755,156047.262850975,347261.038374749
ck,1950,9.97012669833977e-05,2.4011510318682e-05,6.047324163327e-05,0.000134574617367588
ck,1951,0.0304895969793991,0.0073429485365036,0.0184932932270886,0.0411541996540309
ck,1952,0.0210013597381457,0.00505785313784237,0.0127382563983224,0.0283471819012155
ck,1953,0.0381001270257984,0.00917582715749632,0.0231094173384282,0.0514267287797568
ck,1954,0.0438044638010628,0.0105496285693009,0.0265693506633031,0.0591263193877166
ck,1955,0.0506957204213677,0.0122092812944231,0.0307492035314313,0.0684279887738621
ck,1956,0.0580617449796887,0.0139832745448724,0.0352170242168607,0.0783704896712817
ck,1957,0.0708899746648859,0.0170727555392095,0.0429979146403414,0.0956857571059114
ck,1958,0.0720863898686867,0.0173608936630337,0.0437235935399407,0.0973006525143224
ck,1959,0.0644995982191881,0.0155337320683073,0.0391218678194661,0.0870601649641602
ck,1960,0.0609483340428271,0.0146784649388609,0.0369678685460525,0.082266745259829
ck,1961,0.0685541164098463,0.0165102001546004,0.0415811129792191,0.0925328660704421
ck,1962,0.0861323993148953,0.0207436581048347,0.0522431214147992,0.11625965277537
ck,1963,0.0885181082034266,0.0213182192446031,0.0536901596967382,0.119479831119523
ck,1964,0.0158928567250916,0.00382754908532323,0.00963972268416053,0.0214518348399048
ck,1965,0.0147178060785016,0.00354455628513877,0.00892700233633985,0.0198657768495011
ck,1966,0.0187675765897796,0.00451988096617856,0.0113833678179198,0.0253320696406702
ck,1967,0.0133243621804241,0.00320896684330385,0.00808181679256058,0.0179849363639112
ck,1968,0.0104899975904675,0.00252635390710132,0.0063626489232719,0.0141591722416041
ck,1969,0.00884730052493151,0.00213073568946971,0.00536628027540945,0.0119418952125952
ck,1970,0.0111712895815207,0.00269043256094565,0.00677588274109925,0.0150787654602826
ck,1971,0.0109885039253845,0.00264641145869473,0.00666501513143825,0.014832045328442
ck,1972,0.0119617781983176,0.0028808095356152,0.00725534915690589,0.0161457499265542
ck,1973,0.0120448625874705,0.00290081912754744,0.00730574352493361,0.0162578954410272
ck,1974,0.0113137199629256,0.00272473471854377,0.00686227308628963,0.0152710149136649
ck,1975,0.00943601276807157,0.00227251794087526,0.00572336036886305,0.0127365262865753
ck,1976,0.00882118828834062,0.00212444696057672,0.00535044204545788,0.0119066494794752
ck,1977,0.0114585241840205,0.00275960857876852,0.00695010327056652,0.0154664685246035
ck,1978,0.0148816010171172,0.0035840037663766,0.00902635123330879,0.0200868637208907
ck,1979,0.0115439824128634,0.00278018987332739,0.00700193747768076,0.0155818181966329
ck,1980,0.0156673419545339,0.00377323733579288,0.00950293797094242,0.0211474398720495
ck,1981,0.0160400347858766,0.00386299464817462,0.00972899270752393,0.0216504926083998
ck,1982,0.0145730018574066,0.00350968242491401,0.00883917215206296,0.0196703232385624
ck,1983,0.0136661950957957,0.00329129202153934,0.0082891536210175,0.0184463350520287
ck,1984,0.0139107005838741,0.00335017739208277,0.00843745704692766,0.0187763632803349
ck,1985,0.0152756584056706,0.00367890640239806,0.00926536452166886,0.0206187538752483
ck,1986,0.0152068170546582,0.00366232702622564,0.00922360918816017,0.0205258333061135
ck,1987,0.0137564010040188,0.00331301672135148,0.00834386750630475,0.0185680930391708
ck,1988,0.0126929208228626,0.00305689394461887,0.00769881959554987,0.0171326304539165
ck,1989,0.0207022559371955,0.00498581860688632,0.0125568366734226,0.0279434580491127
ck,1990,0.0186441369258954,0.00449015242959353,0.0113084961854215,0.0251654534477389
ck,1991,0.0188150533835812,0.00453131501871127,0.0114121645996499,0.0253961527917977
ck,1992,0.0231401892989086,0.00557295720444076,0.0140355514152647,0.0312341278595059
ck,1993,0.0111689157418306,0.00268986085831902,0.00677444290201274,0.0150755613027262
ck,1994,0.0168708786774049,0.00406309056749697,0.0102329363878012,0.0227719477531297
ck,1995,0.0205574517161006,0.00495094474666157,0.0124690064891457,0.0277480044381741
ck,1996,0.018632267727445,0.00448729391646035,0.0113012969899889,0.0251494326599571
ck,1997,0.0185064542238707,0.00445699367724868,0.0112249855184041,0.0249796123094694
ck,1998,0.0245360070366762,0.00590911834890231,0.0148821767981304,0.0331181725026521
ck,1999,0.0266107429258069,0.00640878644458154,0.0161405961597371,0.0359186062069205
ck,2000,0.0256374686528737,0.00617438836766108,0.0155502621342694,0.0346049016088083
ck,2001,0.0246641943799405,0.00593999029074061,0.0149599281088018,0.0332911970106961
ck,2002,0.0248446061963867,0.00598343969036489,0.0150693558793763,0.0335347129849804
ck,2003,0.0319305176712782,0.00768997203087122,0.019367275552598,0.0430991232907482
ck,2004,0.0271899598101866,0.00654828188548055,0.0164919168968446,0.036700420650675
ck,2005,0.0249466813030602,0.00600802290331021,0.015131268960096,0.0336724917599043
ck,2006,0.0161421098925501,0.00388757786111994,0.00979090578824371,0.0217882713833238
ck,2007,0.0134976524778,0.00325070113504823,0.00818692504587555,0.0182188398655263
ck,2008,0.0144471883538323,0.00347938218570234,0.00876286068047812,0.0195005028880748
ck,2009,0.0199639917935804,0.00480801909000275,0.0121090467175191,0.0269469650490813
ck,2010,0.0215358392397262,0.00518657427103981,0.0130624419280056,0.0290686107916627
ck,2011,0.0206934988425788,0.00498370959589666,0.0125515251070324,0.0279316379118873
ck,2012,0.0228056013422711,0.00549237686262177,0.0138326089756997,0.0307825082602505
ck,2013,0.0231503754450187,0.00557541038041165,0.0140417297647849,0.0312478768995803
ck,2014,0.0256414780681103,0.00617535397339746,0.0155526940224865,0.034610313430921
ck,2015,0.0241375651662152,0.00581315977812945,0.0146405041269776,0.0325803642692879
ck,2016,0.0288620640018033,0.00695098235525093,0.0175061222713107,0.0389573907834922
ck,2017,0.0179436951700623,0.00432146185066013,0.0108836471856833,0.0242200122900532
ck,2018,0.0188681466820896,0.00454410171965859,0.0114443680406587,0.0254678169797035
ck,2019,0.0167546697292167,0.00403510343711267,0.0101624505051603,0.0226150914241151
ck,2020,0.0163327577057399,0.00393349244247027,0.00990654214495921,0.022045603684991
ck,2021,0.0170297597678621,0.00410135462429767,0.0103293048178611,0.0229864020183776
crashed,1950,0,0,0,0
delta,1950,100,0,100,100
dep_t,1950,0.804679665679588,0.0887158602121878,0.650781935311382,0.917510596982023
dep_t,1951,1.14732186981817,0.236240199796906,0.868849720548385,1.67010039513138
dep_t,1952,1.08289725612744,0.133005566687043,0.905806371450703,1.33309135717377
dep_t,1953,0.985706529124084,0.236637301301138,0.681991706762395,1.3484682590162
dep_t,1954,1.20527733237471,0.163465835253019,0.931736450591064,1.46318037983534
dep_t,1955,0.81597131159444,0.103381246709694,0.663350704406425,1.00348164623413
dep_t,1956,0.728135796779768,0.125865474031801,0.56263048789026,0.984824687930292
dep_t,1957,1.80102390526637,0.218743517308787,1.41614233933632,2.11483046137187
dep_t,1958,1.57073030986169,0.364841709486738,0.926121439622274,2.07285311783618
dep_t,1959,1.1939092020457,0.324671353336849,0.722815595833907,1.80130287818084
dep_t,1960,0.635231343118947,0.0895377965802034,0.49558618555267,0.775312871054498
dep_t,1961,1.54340088760572,0.301054069268956,1.07710360662523,1.96694880881371
dep_t,1962,1.72785785286086,0.280329839796328,1.25602295773907,2.12595456324135
