variable,year,mean,sd,lower,upper
b_t,1950,101920.461031696,40601.0681318004,62492.8535539629,165799.952708855
b_t,1951,110222.431842176,52229.7893294367,60509.2374230033,187658.693490429
b_t,1952,104058.799549937,50380.3134857797,55893.7585928661,179885.858827006
b_t,1953,101281.871208985,48059.389209572,54078.1922608306,175914.538029948
b_t,1954,96393.4035831029,48341.559227223,51637.830853999,168701.966874816
b_t,1955,92962.5252858501,45980.7123512789,50564.0548035335,163885.351663315
b_t,1956,90370.7269822635,44955.5951502789,47911.5244866213,156506.970788692
b_t,1957,92126.6465010565,48272.9451323415,50102.0328553208,162000.76400375
b_t,1958,90131.8543593675,45306.1698981307,48212.6955193324,162811.648406205
b_t,1959,89990.1832593387,43921.7452962506,49386.239867009,155487.305637009
b_t,1960,80733.5291962396,39492.924776609,42866.2339533112,138561.236994811
b_t,1961,72489.4960631539,36133.1860716673,38480.0238346559,131010.157791403
b_t,1962,71124.2955038943,35832.1716547579,38069.149834226,126601.892724599
b_t,1963,59094.4733661279,28317.6165179472,32049.0660761001,102539.281341184
b_t,1964,63577.280934068,30830.4794006519,34370.2035510101,111883.901016963
b_t,1965,71172.1102573059,34845.7105780613,37826.7169876443,122100.118531327
b_t,1966,72635.978973308,35400.6528460796,38912.5114639357,125928.07530236
b_t,1967,95240.051193154,46701.5041612471,52236.5314337224,165967.175908104
b_t,1968,133317.15728749,63441.0564735517,71358.2090790805,232007.723837667
b_t,1969,91212.5748068813,46445.909348428,49768.8706825971,160137.489384108
b_t,1970,91982.189259887,45193.7749161006,49407.2167062979,161472.34246785
b_t,1971,94307.8105848104,45036.8184824283,50818.2496411992,162242.687486249
b_t,1972,120937.811322791,54132.0080244775,67298.6366839005,205714.464285103
b_t,1973,121995.559049446,56956.0612399459,66956.3653446581,207663.67546766
b_t,1974,138020.421174875,66156.6238289234,76363.587910169,241515.0592336
b_t,1975,122814.075882975,59445.1977607902,67409.9772044913,212893.724014668
b_t,1976,106905.347404126,51407.6639545576,58471.094270334,183080.729854594
b_t,1977,106678.284883812,53897.088256376,57862.6528198591,185631.382923911
b_t,1978,128037.462853772,61665.6317490452,70213.5738455845,219623.842456407
b_t,1979,124533.86863605,60275.2031419231,66525.7148887777,217705.220029922
b_t,1980,74596.0293846115,37418.4480662134,39955.6603789001,133461.460079578
b_t,1981,59814.472670115,30481.8266037137,32201.2327247017,102349.197911198
b_t,1982,51594.1766009384,25288.4755519161,27889.9998370064,90770.272842224
b_t,1983,33691.5457895604,15848.7237190757,19009.092262564,58771.5307136888
b_t,1984,50889.9228992566,25257.6860315033,28379.6442719931,86201.5366891541
b_t,1985,56598.0815102626,27452.2617266688,30568.1215553072,99925.085313525
b_t,1986,47400.0421177865,24094.4374575367,25577.5262090541,81698.3413909439
b_t,1987,48621.0453768331,23917.7200699885,26814.5545237936,83329.8166312801
b_t,1988,56750.8388045066,27299.6350939679,31120.1057964779,97703.9821486048
b_t,1989,55685.1729697724,26549.7703785799,30648.4946156488,95966.6443529203
b_t,1990,56314.5463887025,27919.788613051,30434.9103546722,96969.3179271072
b_t,1991,63621.6477123215,31282.8299183106,33973.6956502255,111878.557444626
b_t,1992,50593.8771451452,24084.2910492779,27893.4961909301,88145.1161088384
b_t,1993,41212.3403278451,19910.6221704792,22412.0574684111,70944.6858906613
b_t,1994,42324.7111175935,20452.9250457608,23252.559163386,72228.4164804509
b_t,1995,36329.2647609814,16913.8356951496,20386.4032022766,62683.0343822001
b_t,1996,41455.4816877817,19121.9429027761,23453.9746167038,69795.7640069649
b_t,1997,65143.8596659741,31451.0913687642,37391.3057371931,110982.773427012
b_t,1998,71972.2123661273,35320.6913827082,39515.0796608182,122979.923888194
b_t,1999,69624.2816743677,32752.0176698469,39486.2084358336,117121.872731262
b_t,2000,71972.0354978271,34351.1928533141,40722.074083425,123061.668024176
b_t,2001,76249.7844240783,36343.3781998968,42128.6467117167,130814.438030809
b_t,2002,77792.7310984461,35537.7047727098,43919.1063687436,133781.58199365
b_t,2003,78357.3518746737,36959.8980888776,44069.211045421,138668.043325184
b_t,2004,81713.4728370867,39529.0523871723,44921.3466445232,142319.736921614
b_t,2005,82348.4350002157,36795.4860352073,45907.8622340359,139855.565701436
b_t,2006,76144.2597182224,35419.4164066886,44034.9583425344,128014.803521136
b_t,2007,79267.5095755291,39348.8232338206,45677.4197444893,134034.750517285
b_t,2008,77126.7532594537,35971.6435980272,44380.0049018252,128859.633818082
b_t,2009,70690.1226569622,31930.0143415634,40899.5718654703,117874.698904623
b_t,2010,72218.9006301044,32101.4517065767,41720.123110888,121466.868094745
b_t,2011,67159.5704769267,30608.3065429935,38833.8211380914,112897.763293457
b_t,2012,63339.1021198372,27907.9715359672,35807.5784563209,106873.092728126
b_t,2013,65716.1650736629,31000.4055695819,37138.1391977758,111494.533854463
b_t,2014,55156.6909789995,25894.5033975116,30531.768899248,92416.2292690344
b_t,2015,48880.5811053766,25385.26209712,26288.05406544,83448.029048868
b_t,2016,52286.2638921898,31905.0695469212,21882.9892482514,99395.2008399947
b_t,2017,53375.156273017,38247.1474184129,17219.2018374588,114525.506850072
b_t,2018,55853.7560133947,43760.0538334817,12296.311873917,124127.785895877
b_t,2019,57704.4063908314,47048.2175550479,7383.16667371445,135137.601729885
b_t,2020,58124.4061632894,49545.0603592077,198.44574574831,137432.057724352
b_t,2021,58986.5797793123,51395.4838876353,1.01596118724737e-06,138271.077920989
bmsy,1950,55503.7001723169,21443.0527553015,35647.773800923,87692.8765215433
ck,1950,0.0217093437936075,0.00578066802120029,0.0125437787921476,0.0308574673364112
ck,1951,0.0217093437936075,0.00578066802120029,0.0125437787921476,0.0308574673364112
ck,1952,0.0217093437936075,0.00578066802120029,0.0125437787921476,0.0308574673364112
