variable,year,mean,sd,lower,upper
b_t,1950,7241080.24596645,5932156.87421643,2025733.08799764,17780447.0939941
b_t,1951,10559478.0584905,8776089.24474766,2866264.57830813,26836004.8873855
b_t,1952,12136690.7505822,10299386.7442842,3299340.55775751,30254523.448766
b_t,1953,12867045.2723872,10693014.7994055,3506347.86309029,31651061.9982522
b_t,1954,12883748.2756405,10840871.1243382,3508239.72642969,31756148.8151541
b_t,1955,12862781.3064005,10884184.8292152,3468966.77508514,32760966.7047631
b_t,1956,12602488.4380671,10630893.472607,3427008.64949819,31297167.6394218
b_t,1957,12690444.0789461,10806054.866661,3421060.98267493,31858128.0779486
b_t,1958,12491455.4437406,10594507.8612262,3416089.18216745,30578031.2396052
b_t,1959,12444835.3438767,10474893.9820637,3398281.33352237,31793705.3457823
b_t,1960,11821357.429993,10109734.2202034,3202759.07069619,29978263.7632107
b_t,1961,12034788.7363313,10287107.453907,3294838.50519328,29734208.191168
b_t,1962,12866480.1391239,10883838.4346703,3471624.17836671,31653391.2724927
b_t,1963,12476673.6853269,10456176.4581539,3372990.07754807,30377578.2477535
b_t,1964,12368282.528759,10297729.2800921,3351329.29060282,29769466.5498181
b_t,1965,12403957.697165,10379486.2570469,3357171.88649387,30830831.5694937
b_t,1966,12584091.0188531,10736849.7557843,3393611.50854162,31879208.8940686
b_t,1967,12889447.406485,10759174.4890114,3429107.84864257,31816063.1824906
b_t,1968,15649316.6996415,13336223.9759973,4297183.79898791,39073561.8129892
b_t,1969,15453672.3479396,13112561.9789761,4199779.97655868,37724436.6013306
b_t,1970,15800084.6565685,13462448.9699861,4291208.47932408,38442292.2950708
b_t,1971,16572673.0835797,14413515.7735078,4362718.28299429,41643616.3258276
b_t,1972,16815794.0594747,14409013.7355244,4461614.46524244,41069927.1042541
b_t,1973,16132069.8945104,13632150.0466429,4340233.31391502,39672660.2187245
b_t,1974,16385019.3471988,13570050.4020609,4423420.42031463,39883748.3722302
b_t,1975,13978181.6427478,11740044.1528792,3790693.01692017,33850315.0723522
b_t,1976,12569428.1083804,10537940.7100039,3336219.55293577,30786032.8185505
b_t,1977,12682967.9272862,10836175.8406058,3377737.92732339,31602780.4863891
b_t,1978,12503428.2910566,10626189.2154112,3320513.75992254,31329353.5454456
b_t,1979,12117882.2875166,10113066.9529228,3215208.85510466,29905470.6962298
b_t,1980,11511095.8875779,9659779.2927326,3171448.95156867,28214979.9068682
b_t,1981,11745312.2715991,9867710.77739121,3236998.11128734,28456270.9979423
b_t,1982,11601200.7642732,9769825.22937636,3108516.05189427,28184549.1173113
b_t,1983,9380421.40251663,7848146.15743506,2557751.63069912,23553953.6039338
b_t,1984,10335818.6237018,8811461.77342314,2784386.9288562,25721467.6488041
b_t,1985,10382292.3080586,8780323.5665073,2798794.79628583,25819285.4926383
b_t,1986,11339836.4273728,9683837.5364835,3038693.15085145,27664310.8942662
b_t,1987,10994395.0847433,9460237.88723938,2931303.65426423,27686527.0221589
b_t,1988,10630314.8340463,8861409.99881424,2901701.7475508,26100026.9873886
b_t,1989,9655439.64677739,8054007.25770292,2644064.92904138,23822582.7567837
b_t,1990,9209929.58133427,7853048.9008467,2499177.48925059,22279523.740157
b_t,1991,9716664.25311168,8182083.30326765,2594159.9005782,24307603.7434176
b_t,1992,8830721.06805964,7382780.06588893,2338998.72771641,21402466.2491112
b_t,1993,8828771.72365212,7383897.86529868,2434057.4753472,21566670.8865848
b_t,1994,9020910.96117327,7628436.79786025,2387303.71488038,22249070.835808
b_t,1995,8832256.13454601,7409751.01612263,2420338.31359906,22064756.3298154
b_t,1996,8577228.56196684,7223713.12477096,2263869.76158251,21218839.228685
b_t,1997,8505306.25807134,7238082.55921537,2289767.86574002,20627579.2304459
b_t,1998,8213104.6638378,6867051.94046621,2169464.36488249,20275309.4929352
b_t,1999,7639659.49601278,6330636.97565705,2102847.79364141,18298140.0351977
