variable,year,mean,sd,lower,upper
b_t,1950,562628.262176794,602331.412639917,181804.283031909,1457006.44165182
b_t,1951,393675.400129973,472008.823176266,115138.378993393,1032964.63459197
b_t,1952,326948.472641748,367368.89640998,93694.6022148499,883963.896493516
b_t,1953,300415.796994511,336447.335660279,85936.7857990166,811022.859577184
b_t,1954,281624.284696293,319850.491742952,80624.7854049461,752827.873233234
b_t,1955,268881.249931471,303291.195999962,76144.0401381651,726662.613096993
b_t,1956,259820.796771088,298577.993008651,72830.8578573556,678569.78331507
b_t,1957,259988.372035603,286620.537388755,73534.8894774515,704211.827860643
b_t,1958,256266.072716017,291486.77858593,69599.9616285557,692062.207325419
b_t,1959,257074.01059309,296661.409317331,71305.4414032336,690802.807278701
b_t,1960,243799.034071662,287928.511236001,67492.5170770278,652798.325548084
b_t,1961,245393.062062998,280807.475900704,68729.5133176864,650283.941364401
b_t,1962,267613.345568655,315806.155201992,74353.6758423045,701536.042006974
b_t,1963,291273.423792772,347392.474893648,82893.1225247053,769928.55897895
b_t,1964,417212.237291223,494770.630060281,113512.887756855,1087885.92073723
b_t,1965,487684.763837047,580403.535357313,132332.146133926,1287719.52272977
b_t,1966,510963.243718385,615472.267195627,141385.169692972,1349234.83402529
b_t,1967,466528.905685164,566603.261082136,127972.628629798,1214665.26890668
b_t,1968,543088.991353208,634668.595046649,151432.069583325,1435047.56193796
b_t,1969,592019.816598564,676432.271001202,169056.164540644,1536140.54272752
b_t,1970,768589.593830072,900342.602779625,218943.798268391,1974284.72186414
b_t,1971,992781.509100418,1155306.87184226,279106.095258508,2651919.52093975
b_t,1972,794314.954193829,928416.814221866,222165.136864552,2066116.31980496
b_t,1973,771359.565642822,899600.180092523,215533.520466931,2039463.3984942
b_t,1974,836467.266479655,954570.45054319,242927.996853749,2294657.36139711
b_t,1975,900850.885114378,1015810.38223168,259272.202859576,2384545.93316209
b_t,1976,877318.360917518,1028877.8714074,255128.476433549,2399045.94495588
b_t,1977,1031900.58213817,1181330.70549441,294457.180565912,2750042.79143362
b_t,1978,1029525.02409143,1168620.86955634,297370.711476993,2773651.52146312
b_t,1979,990051.778016407,1160347.54969104,282889.450041614,2641534.41330632
b_t,1980,945032.863848428,1095747.72090263,275781.238894883,2421866.4167073
b_t,1981,1034303.69037476,1183863.36124911,308334.606801019,2767756.62943304
b_t,1982,821227.512968001,997133.464873922,229080.777973338,2172917.66450852
b_t,1983,595431.59339968,681092.987857864,172853.509111269,1587570.56524866
b_t,1984,724984.091030743,818546.706963468,207473.742679529,1896152.53957522
b_t,1985,774203.829296553,881507.274857837,221806.006486253,2053091.54110368
b_t,1986,916683.857524512,1047822.36808328,265000.136816389,2455914.45965381
b_t,1987,899167.357101915,1042575.27757621,258666.727584356,2355947.8500599
b_t,1988,861117.179081151,996760.311493643,242731.797541005,2285340.76673248
b_t,1989,694864.021142525,793981.386225054,199699.781429699,1833923.64857603
b_t,1990,634213.081050606,703958.751321256,183292.714463696,1676441.02906521
b_t,1991,785220.437296556,878189.698237667,227082.804505299,2113928.69265937
b_t,1992,833921.575682946,968091.740930412,242653.198261865,2239637.45800338
b_t,1993,795610.503422847,900323.269878688,224935.161464911,2146474.28710992
b_t,1994,701094.406893341,819902.110173667,202062.213236019,1887016.63098713
b_t,1995,642968.789810737,732747.403419637,190720.35958235,1690853.84158502
b_t,1996,581839.689836496,665773.980776164,170835.420004128,1522498.68536212
b_t,1997,560395.613211915,643336.811604138,160668.578222978,1475976.01150514
b_t,1998,577590.980429097,650150.795519309,168762.974482345,1514517.16342504
b_t,1999,539327.628016776,605114.731135538,156567.826877388,1449400.46333235
b_t,2000,518148.853309284,592348.742115528,149345.573566659,1368741.35575086
b_t,2001,510818.02794332,603551.67827016,147152.167508476,1370149.0367033
b_t,2002,504582.618797077,580690.006607817,147240.301845707,1358947.28408508
b_t,2003,593369.288046071,667031.680766095,173619.170532437,1590607.90311267
b_t,2004,700262.528764837,795382.016315308,203566.01765695,1828613.59359159
b_t,2005,688170.800609294,833465.261055112,196338.931166113,1756859.61682178
b_t,2006,565306.63057599,658677.281937413,162379.517479034,1514669.31123359
b_t,2007,486980.249887591,579646.206557804,143507.858397033,1296995.20123336
b_t,2008,364538.606827033,426583.777645448,105032.069192971,997220.495672663
b_t,2009,313473.434218649,364130.909919495,91862.8798428736,836615.115797826
b_t,2010,333883.531469902,381935.639276633,100813.113872571,869103.939630526
b_t,2011,292267.175256624,338994.717525834,87892.4500428874,781759.599138673
b_t,2012,267307.655532841,314039.286500978,80311.6860280074,713218.23694106
b_t,2013,284173.652798087,331225.00306321,86169.4503753426,748728.585973096
b_t,2014,267595.56786061,307435.391809994,80232.8990291014,681688.362665856
b_t,2015,269843.766044399,311612.552487584,77295.9505870561,703892.328917329
b_t,2016,311466.341300572,370444.507431305,73938.9339913202,887974.817317219
b_t,2017,350051.035754807,442584.438353864,71434.9390217531,990947.438630407
b_t,2018,392088.53527625,533475.947721342,71478.1481607698,1132433.26900151
b_t,2019,420431.581981684,602313.711657437,60217.9540299986,1253521.13844295
b_t,2020,447584.235346443,594318.732823563,57237.006610387,1309614.41284073
b_t,2021,471693.417967949,638384.701307419,52885.969272615,1422718.56373417
bmsy,1950,357439.06136905,381868.038252898,121513.459785905,905767.422488536
ck,1950,0.00364106963975532,0.00191801689796201,0.000938430748319087,0.00699511034436231
ck,1951,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1952,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1953,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1954,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1955,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1956,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1957,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1958,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1959,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1960,0.00299852793862203,0.00157954332773342,0.00077282532214513,0.0057606791071219
ck,1961,0.00364106963975532,0.00191801689796201,0.000938430748319087,0.00699511034436231
ck,1962,0.00364106963975532,0.00191801689796201,0.000938430748319087,0.00699511034436231
ck,1963,0.00364106963975532,0.00191801689796201,0.000938430748319087,0.00699511034436231
ck,1964,0.00813886154768837,0.00428733188956214,0.00209766873153678,0.0156361290050452
ck,1965,0.0100664866510882,0.00530275260024791,0.00259448501005865,0.0193394227167664
ck,1966,0.0117799311874437,0.00620534878752415,0.00303609947985587,0.0226312393494075
ck,1967,0.00963812551699938,0.00507710355342885,0.00248408139260935,0.0185164685586061
ck,1968,0.0107090283522215,0.0056412261704765,0.00276009043623261,0.0205738539540068
ck,1969,0.0102806672181327,0.00541557712365744,0.0026496868187833,0.0197508997958465
ck,1970,0.0179547569353346,0.0094580797974209,0.00462756762538759,0.0344941235392878
ck,1971,0.0302851321800825,0.0159533876101075,0.00780553575366582,0.0581828589819312
ck,1972,0.0171108855011796,0.00901355117518735,0.00441007249901246,0.0328729038477121
ck,1973,0.0190085253251932,0.0100131764525958,0.00489916052431288,0.0365185907683621
ck,1974,0.0213902132307273,0.0112677851529098,0.00551300463733101,0.0410942158877332
ck,1975,0.0291949530938264,0.015379110785953,0.00752455854725734,0.0560884406494133
ck,1976,0.0274686577234482,0.0144697451272722,0.00707963196893664,0.0527719353920274
ck,1977,0.0380877302375111,0.0200635849979167,0.00981653764550489,0.0731729689728206
ck,1978,0.0343759810106311,0.0181083360072296,0.00885989030030667,0.0660420711923618
ck,1979,0.0368069304465854,0.0193888943479277,0.00948643082933147,0.0707123360399213
ck,1980,0.041302580548848,0.0217570810942938,0.0106451167944619,0.0793492399298134
ck,1981,0.0595593320837153,0.0313742434697221,0.0153505189701513,0.114423546150604
ck,1982,0.0387559736066897,0.0204155975109545,0.00998876728872581,0.0744567774595506
ck,1983,0.0355282724613302,0.0187153319431728,0.0091568760312453,0.0682558178778129
ck,1984,0.0380106252333751,0.0200229681694893,0.00979666499436402,0.0730248372243517
ck,1985,0.0383790158086915,0.0202170263497537,0.00989161210537042,0.0737325778003695
ck,1986,0.0482591653664511,0.0254216216146353,0.0124380715418386,0.0927140154583362
ck,1987,0.0509492732885292,0.026838697628659,0.0131314062594203,0.0978821675715827
ck,1988,0.0436135888672574,0.0229744577018826,0.0112407443106009,0.0837890776130881
ck,1989,0.0396919426846739,0.0209086406782541,0.0102299991928525,0.0762549322951308
ck,1990,0.0366805639120292,0.0193223278791161,0.00945386176218393,0.0704695645632641
ck,1991,0.0501225362997377,0.0264031949682982,0.0129183272777431,0.0962938660463334
ck,1992,0.0659076440909122,0.0347183623435806,0.01698670058075,0.126619726774539
ck,1993,0.059360144156364,0.0312693166629512,0.0152991812880373,0.11404087246706
ck,1994,0.0456483042541795,0.0240462906742731,0.0117651614934851,0.0876981098643494
ck,1995,0.0485311746865976,0.0255649087593654,0.0125081778389189,0.093236591348768
ck,1996,0.0439948302765965,0.0231752853535516,0.0113390035301308,0.0845215068138507
ck,1997,0.0407607037142256,0.0214716350500677,0.0105054562183886,0.0783082029197407
ck,1998,0.0450314642210916,0.0237213560468537,0.0116061802843581,0.0865130558765986
ck,1999,0.0508143395312912,0.026767618178911,0.0130966291199237,0.0976229370117622
ck,2000,0.0425812385341033,0.0224306434990487,0.0109746715925481,0.0818057580919218
ck,2001,0.0436521413693254,0.0229947661160963,0.0112506806361714,0.0838631434873225
ck,2002,0.0448065746256949,0.0236028902972737,0.0115482183851972,0.0860810049435644
ck,2003,0.059013171637752,0.0310865409350278,0.0152097543579034,0.11337427959895
ck,2004,0.0693709438600207,0.0365427348871127,0.0178793138278276,0.133273311143265
ck,2005,0.0645283212391461,0.0339917724128232,0.0166312009325632,0.123969814385263
ck,2006,0.0614355538510245,0.0323625862947896,0.0158340868145792,0.118028085363346
ck,2007,0.0553485421356218,0.0291561133394907,0.0142652514106246,0.106333906775889
ck,2008,0.0386938612422469,0.0203828783991657,0.00997275876419566,0.0743374491066173
ck,2009,0.034438093375074,0.0181410551190183,0.00887589882483682,0.066161399545295
ck,2010,0.0450785839458413,0.0237461774420038,0.0116183246822775,0.0866035808339962
ck,2011,0.0392871414129599,0.0206954023290101,0.0101256677743629,0.0754772406156693
ck,2012,0.0348407528411175,0.0183531652230282,0.00897967822523917,0.0669349764539657
ck,2013,0.0365477719604617,0.0192523766746022,0.00941963664077464,0.0702144487742344
ck,2014,0.0357231767773406,0.0188180022594755,0.00920710967718473,0.0686302620197759
ck,2015,0.0367255418311085,0.0193460210290321,0.00946545414201611,0.0705559747498709
ck,2016,0.0357981399758062,0.0188574908426688,0.00922643031023836,0.0687742789974539
ck,2017,0.0341018298848143,0.0179639206172654,0.00878923198513912,0.0655153805311392
ck,2018,0.0453212719463594,0.0238740189094791,0.0116808738517434,0.0870698255123019
ck,2019,0.0388721301536149,0.0204767856347351,0.0100187048856514,0.0746799338238481
ck,2020,0.0354060610297746,0.0186509542701154,0.00912537787918701,0.0680210290564898
ck,2021,0.0347668990979893,0.0183142610708662,0.00896064353755473,0.0667930909275573
crashed,1950,0,0,0,0
delta,1950,100,0,100,100
dep_t,1950,0.783418762693872,0.0772308912513339,0.665458257391398,0.910735546233403
dep_t,1951,0.534724439538172,0.0862908771425866,0.410858155147355,0.678768052531125
dep_t,1952,0.445057815767328,0.0769886051347485,0.332070911223451,0.575385606694878
dep_t,1953,0.40873341142559,0.0728765823959073,0.302185133274593,0.531425197881543
dep_t,1954,0.381879187637572,0.0639669139677245,0.288256963217824,0.490045479176748
dep_t,1955,0.364778273305233,0.0624421850309722,0.270595673111287,0.468006265189696
dep_t,1956,0.351746453617974,0.0615414059928819,0.261606477232924,0.457801923491899
dep_t,1957,0.354098854414166,0.0600557171157016,0.267671165470362,0.454433065317798
dep_t,1958,0.346793510879045,0.0630828040113408,0.256188185149292,0.456744255835582
dep_t,1959,0.347306637382188,0.0606650013612281,0.258105413570907,0.449367232035699
dep_t,1960,0.328920426170846,0.0577282871709174,0.241875816547219,0.428892139258443
dep_t,1961,0.332859955184363,0.058574455885445,0.245612571156484,0.431669230979542
dep_t,1962,0.360982642677291,0.0634179616604419,0.268743806901741,0.469808035182931
dep_t,1963,0.392795975981681,0.0669029932453246,0.293987823883021,0.506117725197864
dep_t,1964,0.563657427447598,0.102057493720909,0.415700873044574,0.73819960742972
dep_t,1965,0.658839008292448,0.118759863056535,0.490924083474828,0.85777283167061
dep_t,1966,0.691823687402696,0.121859843764608,0.514470532223745,0.896989726238057
dep_t,1967,0.627901950668476,0.110988851759655,0.466254784412556,0.812760810718211
dep_t,1968,0.736548026505801,0.128445150093117,0.546841059167595,0.952379144220985
dep_t,1969,0.806994222482205,0.140359410610113,0.60342074841706,1.0446606479795
dep_t,1970,1.04263079595275,0.171625515218594,0.777081740329993,1.32754359430318
dep_t,1971,1.34714671000541,0.231538333498978,1.00813256848924,1.7324975911526
dep_t,1972,1.07595281549248,0.184009625458733,0.804943958262464,1.38184110248478
dep_t,1973,1.04684563355917,0.176555094123298,0.782911365427832,1.33601984390648
dep_t,1974,1.13719159423677,0.18959628454539,0.859090769440818,1.44076554942195
dep_t,1975,1.22769620796986,0.210129409942478,0.922071761194827,1.58684919222688
dep_t,1976,1.19542130188191,0.198166754326771,0.909463442593138,1.5375775276318
dep_t,1977,1.40880785442933,0.233587430403682,1.06297036311135,1.80777099264067
dep_t,1978,1.40160903096389,0.23678112371731,1.04776185265709,1.79890257060289
dep_t,1979,1.3453802390608,0.218318747430718,1.01860999358986,1.71253865051143
dep_t,1980,1.29131132820753,0.200139322085537,0.992600874327153,1.63104656874549
dep_t,1981,1.41528807516834,0.231373910831232,1.07027081445609,1.81419329134292
dep_t,1982,1.10606554932924,0.188352541932415,0.838656627091969,1.43690514798105
dep_t,1983,0.811332954040702,0.130050326227379,0.6256758246705,1.0346186423991
dep_t,1984,0.990935030156416,0.167617120171535,0.745996871282678,1.28055994378311
dep_t,1985,1.0567950662285,0.175434465231513,0.800222113385083,1.34905685440935
dep_t,1986,1.24969920853257,0.208521322954122,0.941937554459279,1.58379971660831
dep_t,1987,1.22458150922823,0.208307716138121,0.902526390450249,1.57737221452945
dep_t,1988,1.16656684294354,0.200390444053864,0.873946267679358,1.50660185794814
dep_t,1989,0.947885074459335,0.159080024853962,0.716492512866342,1.22000412557316
dep_t,1990,0.866588125645018,0.145105870207092,0.664554869061631,1.10448816799416
dep_t,1991,1.07590176980836,0.179786207973138,0.81077254142716,1.37865299685098
dep_t,1992,1.13635678224445,0.190376895916792,0.860968152113633,1.46562235258894
dep_t,1993,1.07862128420679,0.18433609495869,0.808614528199055,1.39062023976578
dep_t,1994,0.952472779109429,0.16075654832955,0.721522597340631,1.22419030983035
dep_t,1995,0.880091368447218,0.151538099373158,0.66885952606487,1.14461874319838
dep_t,1996,0.792045040691765,0.133939213930617,0.603364170970048,1.02313620418741
dep_t,1997,0.762178532185434,0.128076088323467,0.574797321209426,0.979178339757775
dep_t,1998,0.78948314077395,0.134453407663743,0.591003249049618,1.01935036436793
dep_t,1999,0.735313903370815,0.12487455716209,0.555956328278327,0.941663090037763
dep_t,2000,0.704711537931973,0.123833075700912,0.524429415219384,0.917022240496688
dep_t,2001,0.694511879866791,0.11647953553523,0.522082225499047,0.902322474300878
dep_t,2002,0.688096360130689,0.116886395907726,0.515970866950313,0.888362109248725
dep_t,2003,0.810856562460439,0.135922787600926,0.612866755088871,1.04671344911862
dep_t,2004,0.958140408383413,0.158603101003461,0.71911207690502,1.22240043155289
dep_t,2005,0.932707579766517,0.159715661433511,0.697366048699166,1.20092836375678
dep_t,2006,0.769396154687594,0.130216065737693,0.582072222065626,0.985251481262169
dep_t,2007,0.661137805154785,0.110180382100617,0.496772055167254,0.846853396238546
dep_t,2008,0.496985060039231,0.0843703531594552,0.373409073677182,0.638700948912421
dep_t,2009,0.429694481390581,0.0717110196956834,0.321512904505444,0.548959621228149
dep_t,2010,0.459807892710102,0.0762123746338124,0.347563391963925,0.590710657684725
dep_t,2011,0.4010978469262,0.0682114504465142,0.305904189698555,0.515215808283812
dep_t,2012,0.366587982807775,0.0599190499034073,0.279528368325646,0.47321085160557
dep_t,2013,0.389860519288603,0.0616670004392535,0.298024652782227,0.490197809621493
dep_t,2014,0.367111996494638,0.0610851594757496,0.278989183487972,0.467638512717822
dep_t,2015,0.368343584989728,0.0694327200843806,0.266015235403437,0.487001743034814
dep_t,2016,0.413993696644301,0.123285075269972,0.246351554883203,0.62939021726216
dep_t,2017,0.456986480801744,0.165614876464501,0.232376399634309,0.74306613418114
dep_t,2018,0.502677700895668,0.210160947550225,0.222987845714587,0.845780906664196
dep_t,2019,0.529652995829598,0.237890940682959,0.200241218005102,0.943924156449607
dep_t,2020,0.560165160585548,0.258951243777215,0.192638893378646,0.995666781334746
dep_t,2021,0.588457933407509,0.284211907987742,0.175541931023418,1.08589617694762
growth_t,1950,0.0591918890816192,0.0190712223702817,0.0282782199414126,0.0870622104874921
growth_t,1951,0.0874295612176347,0.0150214754097764,0.0651947790676415,0.112682998363038
growth_t,1952,0.087211611448914,0.0137037335444712,0.0671122739188207,0.110834244093974
growth_t,1953,0.0854525881525412,0.0134489439811622,0.0653865752565172,0.108768988478399
growth_t,1954,0.0838871689564157,0.01351971764043,0.064033972012195,0.107080721893539
growth_t,1955,0.0823487665543265,0.0133741065366937,0.0626604982742298,0.10613615008422
growth_t,1956,0.0810269878480192,0.0131963725439159,0.0618891526641584,0.103727065815275
growth_t,1957,0.0813848543430191,0.0133829231114727,0.0621355357858036,0.10449969022666
growth_t,1958,0.0804048649557729,0.0132413446546077,0.0608640422070497,0.103710247882484
growth_t,1959,0.0806120092231385,0.0133868620511247,0.0611730892679517,0.103542741662565
growth_t,1960,0.0785630832548481,0.0132393231262388,0.0598323380841445,0.100887817487398
growth_t,1961,0.0789886450030441,0.0131433674869361,0.0600966136049084,0.102386949254996
growth_t,1962,0.0819027427695191,0.0131071520128598,0.0624214501291603,0.104664801705123
growth_t,1963,0.0846259162636298,0.0134854211832687,0.0649010901639863,0.108174153964952
growth_t,1964,0.0853623088892155,0.0164622331809598,0.0610250446715584,0.111359524175877
growth_t,1965,0.0764521876434025,0.0225729557881093,0.0409974273205303,0.107990322809105
growth_t,1966,0.0720539188399896,0.0250706364145118,0.0312179849838303,0.105643267355895
growth_t,1967,0.0803496047198992,0.0200583689644547,0.0499752373314208,0.109042931261202
growth_t,1968,0.0648180666393167,0.029513653232048,0.0151713451567027,0.103434451246582
growth_t,1969,0.0499075662385265,0.0379690755014062,-0.0154118772970721,0.0963882096151269
