variable,year,mean,sd,lower,upper
b_t,1950,1064662.94592622,1172801.19935814,234995.298958679,2882795.53199449
b_t,1951,1049882.92454193,1126375.83453472,205913.047072033,3049171.24071537
b_t,1952,1010234.62577995,1173599.43328143,197261.033904671,2802909.93554565
b_t,1953,1000253.87312845,1141968.59505077,186785.862761196,2793511.30998844
b_t,1954,1014079.28637822,1132150.26642153,195773.809862566,2764387.5001982
b_t,1955,1012913.30153367,1152707.69150898,188482.792393792,2794445.9327049
b_t,1956,988075.908629218,1089866.80385508,194551.084562819,2824661.2323816
b_t,1957,987627.100092246,1099579.95341266,196830.162294831,2861937.28114257
b_t,1958,980156.674748792,1102988.25261189,186380.397873784,2804699.44317236
b_t,1959,996273.749583811,1130938.1167866,186705.659254967,2821067.03275109
b_t,1960,917919.072937979,1033035.82888264,183714.52747728,2592674.45339587
b_t,1961,916436.949840232,1025868.19667702,183030.853584861,2645519.5091261
b_t,1962,1002297.27657015,1159651.96336893,195318.198883086,2843857.64233638
b_t,1963,964278.163562928,1062471.40644418,184124.768680202,2805092.951432
b_t,1964,938308.885149598,1122731.08107333,179325.558658174,2607161.46348614
b_t,1965,919032.610154442,1067811.05865936,175316.327971637,2623346.59610193
b_t,1966,900799.81825221,994090.923317115,176703.446362257,2646464.75393667
b_t,1967,865014.233926646,947007.541704564,173503.919598375,2410758.91222889
b_t,1968,983372.293055686,1125111.88178954,186107.218740752,2725160.03682584
b_t,1969,1062605.33190014,1220162.11863676,202005.143499272,3001976.8209029
b_t,1970,1124123.13334608,1349697.62702015,207888.94476123,3122894.57762487
b_t,1971,1090291.40459733,1180615.37082361,215952.385817051,3096020.32573771
b_t,1972,980494.894991349,1119658.63887994,189644.622547864,2764738.41010664
b_t,1973,848688.314495124,979183.566987376,158327.06082589,2393037.98566017
b_t,1974,664321.871909887,753698.793233382,129981.593361854,1929034.40906562
b_t,1975,500035.772769535,575444.072477467,103045.905778424,1361608.74599666
b_t,1976,1300540.77203832,1562238.49991075,255772.299164964,3558588.1576349
b_t,1977,1453241.11028064,1726532.00774474,278161.909586851,4063529.39468559
b_t,1978,1438906.37678921,1695143.39679236,272896.845037629,4051556.90747289
b_t,1979,1472134.912103,1769018.05473958,289921.602884533,4092876.81585241
b_t,1980,1528365.10928876,1790253.08596379,292871.712277936,4198175.75209175
b_t,1981,1649343.48250699,1911885.59888614,329289.437888948,4414526.77575515
b_t,1982,1786741.55362017,2015522.14592448,356592.207126846,4895618.95294235
b_t,1983,1593947.56902677,1932769.61702815,312994.868071919,4323042.2781132
b_t,1984,1970068.33330934,2305964.10945833,384592.989768819,5193217.30190473
b_t,1985,2216141.12712837,2493540.37469618,424996.382607607,6105934.8798433
b_t,1986,2641219.68106443,2915264.10329711,525358.29225127,7422338.2463143
