variable,year,mean,sd,lower,upper
b_t,1971,8430909.0278785,6793819.66961338,2442258.78493052,20487170.5899524
b_t,1972,2019.38078820629,4102.58347539206,104.586247199262,7108.73114290752
b_t,1973,259.220184391185,532.680113721245,11.2928987007155,916.364562945782
b_t,1974,5946.33961314876,12622.7266659279,351.945300748849,21334.8906044956
b_t,1975,18663.1732845848,38695.4177212665,964.583632328777,70142.8910332533
b_t,1976,28064.520947051,63517.5289519984,1259.82510063294,99387.0066062881
b_t,1977,49254.1316999577,212820.491582346,2105.49551352722,153771.345485895
b_t,1978,124341.203968477,255314.571540658,5310.93503694802,463445.881133554
b_t,1979,1326900.15421672,2784431.30220776,77503.2381848139,4616065.29886716
b_t,1980,3024114.82325066,6607067.47791793,159212.805703897,10640440.9178932
b_t,1981,4348082.85625691,8536895.53940194,233923.095561899,15126053.692703
b_t,1982,6154720.96249037,9871936.78956324,385086.279730129,21899988.3187084
b_t,1983,8343164.10357717,12673002.6661005,517062.309532457,29826153.1412992
b_t,1984,9395382.28218924,12938132.1323343,660812.541032396,33140784.9476851
b_t,1985,10202569.9002593,13726680.1606268,719634.941006895,37652557.7550464
b_t,1986,10954161.2012158,15254450.451369,813957.010001028,34585668.9300369
b_t,1987,9954071.00250287,14319451.8622593,742402.059918066,33715053.1005274
b_t,1988,11930904.5335575,15594404.1817409,1011576.07581823,39653177.7419787
b_t,1989,11995294.4737557,16666730.2277472,1039533.10174145,37740091.3956439
b_t,1990,11822447.4749353,16238674.7823054,953703.595793905,36695698.6416388
b_t,1991,11501269.3679213,15844353.8567329,961120.694250094,38211692.497089
b_t,1992,9834617.51444646,13335360.927983,812658.113742685,31314469.1426005
b_t,1993,8567946.50985654,11643904.1247872,577476.709125547,27380564.4669276
b_t,1994,8442346.30397308,12628608.5577061,518811.638830247,30090375.9137834
b_t,1995,7583018.1468218,11530567.5983686,567091.048518444,25640849.0409652
b_t,1996,7623687.82403972,12652022.6139299,475283.8006997,27305625.442919
b_t,1997,7240485.55524158,10846824.7336663,456235.910006958,23189156.1525019
b_t,1998,7486475.00672565,11452802.2998635,498602.098105968,25712702.3243215
b_t,1999,7956623.92773324,11880773.1648073,526152.919285601,27680269.9520352
b_t,2000,8565278.53350419,13340939.1404717,659690.910881784,27860480.0436215
b_t,2001,8626637.79935462,11719938.541506,696316.768284203,28476948.3807513
b_t,2002,8763089.78520207,12648185.0686115,726310.697507554,29395173.0515336
b_t,2003,10064644.8581291,14439165.85176,984755.351412634,32111385.568173
b_t,2004,13714137.938566,19893243.5578264,1384433.01499764,42789733.807278
b_t,2005,12862213.9292223,16545892.0969763,1265110.82654013,38433089.5815547
b_t,2006,12586481.5256833,16458480.1479728,1387959.80098534,39578064.8585647
b_t,2007,12648670.1336234,16162060.8527722,1151862.594194,39152855.118517
b_t,2008,11429081.5987905,16297859.2149474,914386.197325442,38145569.2415151
b_t,2009,9786031.81073182,15246604.2131476,827666.911320688,31535958.5061299
b_t,2010,9263610.11820033,11720901.1182598,759946.118767398,30155558.3753041
b_t,2011,8594525.24270423,11659496.1764139,718180.710576468,27691663.7034574
b_t,2012,8457899.92886877,16633840.1588654,598363.514404905,27357095.2615644
b_t,2013,8461097.64271054,14324941.5066345,498786.981829881,29670366.840959
b_t,2014,6703510.36488667,10297573.2948711,429840.689205555,24245547.7900702
b_t,2015,4971444.43048324,9406612.10570734,179222.870210126,19129667.6962813
b_t,2016,3219969.46632662,10250662.3164217,7211.23182380244,13053031.2551524
b_t,2017,1541557.05556474,6081380.16048373,0.000594297256694359,6272774.85719551
b_t,2018,794168.354117031,3936960.70210142,0.000110271776105087,2705246.21541101
b_t,2019,420670.227769862,2983702.78540741,5.75683047028124e-05,1186540.69226533
b_t,2020,345672.463974563,2811091.01725486,5.85149604569244e-05,399714.314351241
b_t,2021,124034.941227858,1460901.82998568,4.30873061920091e-05,31571.8748793465
bmsy,1971,4944951.33509965,3955064.3935936,1441088.48681473,12157165.4949918
ck,1971,2.82595922166531e-06,1.85498680139325e-06,7.40304145650135e-07,6.24528302621866e-06
ck,1972,1.56997734536962e-10,1.03054822299625e-10,4.11280080916742e-11,3.46960168123259e-10
ck,1973,1.56997734536962e-10,1.03054822299625e-10,4.11280080916742e-11,3.46960168123259e-10
ck,1974,8.32087993045896e-06,5.46190558188013e-06,2.17978442885873e-06,1.83888889105327e-05
ck,1975,7.53589125777415e-06,4.946631470382e-06,1.97414438840036e-06,1.66540880699164e-05
ck,1976,5.33792297425669e-06,3.50386395818725e-06,1.39835227511692e-06,1.17966457161908e-05
ck,1977,4.39593656703492e-06,2.8855350243895e-06,1.15158422656688e-06,9.71488470745125e-06
ck,1978,3.92494336342404e-06,2.57637055749063e-06,1.02820020229185e-06,8.67400420308147e-06
ck,1979,0.00166605995890624,0.00109361777424362,0.000436450421868847,0.00368194130412402
ck,1980,0.00125284192160495,0.000822377481951008,0.00032820150457156,0.00276874214162361
ck,1981,0.00156542441106804,0.00102755963314956,0.000410087368682083,0.00345953983635702
ck,1982,0.00258559569008922,0.00169720986845252,0.000677337165261782,0.00571408700882195
ck,1983,0.00792069270512424,0.00519921883983838,0.00207494913623305,0.0175044874419865
